"Timestamp","How.would.you.rate.your.level.of.experience.using.R.","What.is.the.highest.degree.or.level.of.school.you.have.completed..If.currently.enrolled..please.use.the.highest.degree.received.","In.what.country.do.you.currently.reside.","What.industry.do.you.work.or.participate.in.","How.many.people.in.your.organization.or.work.group.do.you.feel.that.you.can.ask.for.help.or.support.when.working.with.R."
"12/15/2019 12:09:59","Beginner","Bachelor's degree ","Argentina","Education",10
"12/19/2019 13:14:55","Expert","Bachelor's degree ","Argentina","Information Technologies",2
"12/18/2019 10:51:47","Intermediate","Bachelor's degree ","Argentina","Research",1
"12/15/2019 19:17:52","Expert","Bachelor's degree ","Australia","Political data",3
"12/19/2019 8:53:34","Expert","Bachelor's degree ","Australia","Professional and Business Services",20
"12/31/2019 14:26:26","Expert","Bachelor's degree ","Australia","Government Services (Federal, State, or Local)",4
"12/31/2019 16:20:41","Expert","Bachelor's degree ","Australia","Research",2
"12/30/2019 17:33:39","Intermediate","Bachelor's degree ","Australia","Research",0
"12/30/2019 22:08:01","Intermediate","Bachelor's degree ","Australia","Transportation",2
"12/31/2019 1:32:04","Intermediate","Bachelor's degree ","Australia","Not for profit",0
"12/31/2019 1:57:12","Intermediate","Bachelor's degree ","Australia","Professional and Business Services",0
"01/02/2020 18:51","Intermediate","Bachelor's degree ","Australia","Financial Services and Activities",2
"01/05/2020 23:07","Intermediate","Bachelor's degree ","Australia","Professional and Business Services",0
"01/08/2020 22:34","Intermediate","Bachelor's degree ","Australia","Health Care and Medicine",1
"12/16/2019 2:38:53","Intermediate","Bachelor's degree ","Austria","Research",
"12/19/2019 12:09:17","Beginner","Bachelor's degree ","Brazil","Transportation",5
"12/31/2019 4:56:58","Beginner","Bachelor's degree ","Brazil","Not Employed",3
"12/31/2019 5:51:04","Beginner","Bachelor's degree ","Brazil","Research",2
"12/15/2019 10:38:20","Expert","Bachelor's degree ","Brazil","Pulp and Paper",5
"12/15/2019 11:31:41","Expert","Bachelor's degree ","Brazil","Information Technologies",0
"12/16/2019 8:52:53","Expert","Bachelor's degree ","Brazil","Financial Services and Activities",4
"12/18/2019 10:25:21","Expert","Bachelor's degree ","Brazil","Professional and Business Services",4
"12/18/2019 16:37:06","Expert","Bachelor's degree ","Brazil","Information Technologies",2
"12/23/2019 21:57:31","Expert","Bachelor's degree ","Brazil","Research",2
"12/31/2019 8:14:00","Expert","Bachelor's degree ","Brazil","Financial Services and Activities",
"12/31/2019 14:51:47","Expert","Bachelor's degree ","Brazil","Agriculture",5
"12/14/2019 14:18:34","Intermediate","Bachelor's degree ","Brazil","Information Technologies",2
"12/18/2019 12:03:01","Intermediate","Bachelor's degree ","Brazil","Financial Services and Activities",1
"12/18/2019 18:33:47","Intermediate","Bachelor's degree ","Brazil","Government Services (Federal, State, or Local)",1
"12/29/2019 18:35:42","Intermediate","Bachelor's degree ","Brazil","Research",4
"12/30/2019 18:22:21","Intermediate","Bachelor's degree ","Brazil","Transportation",2
"12/31/2019 0:29:12","Intermediate","Bachelor's degree ","Brazil","Research",3
"12/15/2019 10:46:19","Beginner","Bachelor's degree ","Canada","Government Services (Federal, State, or Local)",0
