Date	National	Jakarta	Jabar	Jateng	Jatim
28-Jun	28320	4624	1396	2266	6957
29-Jun	28487	4494	1437	2421	7051
30-Jun	28703	4280	1435	2524	7231
01-Jul	29241	4325	1477	2587	7196
02-Jul	29740	4314	1502	2632	7356
03-Jul	30091	4209	1529	2716	7441
04-Jul	30834	4163	1601	2761	7727
05-Jul	31473	4123	1695	2904	8101
06-Jul	31798	3982	1804	2956	8272
07-Jul	32132	3919	1836	3041	8408
08-Jul	33135	4122	1912	3171	8546
09-Jul	34668	4172	2846	3261	8777
10-Jul	35349	4243	2926	3213	8762
11-Jul	35764	4392	2974	3263	8818
12-Jul	36455	4626	3014	3298	9109
13-Jul	36636	4692	3078	3368	9042
14-Jul	37226	4835	3125	3418	9022
15-Jul	37247	4897	3059	3541	8638
16-Jul	37450	5068	3061	3666	8347
17-Jul	37339	5176	3071	3546	8178
18-Jul	37598	5391	3097	3562	7816
19-Jul	36977	5358	3120	3419	7565
20-Jul	36998	5556	3086	3437	7395
21-Jul	37083	5712	3111	3443	7302
22-Jul	37037	5731	3118	3562	7137
23-Jul	36917	6034	3166	3667	6800
24-Jul	36808	6058	3238	3651	6846
25-Jul	37218	6261	3277	3732	6729
26-Jul	37342	6480	3305	3698	6632
27-Jul	37292	6826	2944	3783	6524
28-Jul	36611	6844	2445	3740	6414
29-Jul	37319	7160	2491	3764	6202
30-Jul	36986	7349	2302	3536	6031
31-Jul	37338	7360	2356	3573	5976
01-Aug	36824	7037	2389	3402	5728
02-Aug	37244	7273	2435	3307	5717
03-Aug	37595	7591	2443	3282	5707
04-Aug	37618	7771	2361	3242	5754
05-Aug	37530	7732	2476	3221	5763
06-Aug	37587	8029	2526	3142	5566
07-Aug	38076	8487	2611	3171	5438
08-Aug	38539	8653	2811	3180	5381
9 Aug	38721	8529	2921	3255	5403
10 Aug	39082	8784	2927	3164	5315
11 Aug	39242	9050	2979	3157	5222
12 Aug	39017	8745	3016	3185	5164
13 Aug	39290	8955	3097	3272	5060
14 Aug	39484	8797	3449	3402	4996
15 Aug	40076	8848	3650	3468	4956
16 Aug	40296	8711	3690	3568	5041
17 Aug	40705	9040	3689	3557	4947
18 Aug	40460	8946	3718	3570	4864
19 Aug	39942	8913	3770	3563	4736
20 Aug	40119	8767	3896	3591	4674
21 Aug	39917	8976	3859	3582	4688
22 Aug	39706	8898	3806	3523	4582
23 Aug	39355	8806	3356	3641	4511
24 Aug	37593	7527	3282	3691	4487
25 Aug	38134	7624	3526	3744	4475
26 Aug	37812	7568	3674	3703	4428
27 Aug	37245	6779	3742	3707	4424
28 Aug	37818	6757	4199	3801	4583
29 Aug	39132	7001	4478	3881	4898
30 Aug	40525	7720	4560	3922	5115
31 Aug	41420	8351	4640	3993	5034
1 Sep	42009	8506	4801	4058	5034
2 Sep	43059	9069	4866	4091	5076
3 Sep	44463	9713	5070	4180	5079
4 Sep	45524	9768	5368	4245	5116
5 Sep	46324	9901	5551	4208	5136
6 Sep	47509	10267	5670	4249	5045
7 Sep	48207	10629	5786	4344	5076
