X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19
99.85	97.47	68.67	20.17	106.09	93.8	91.73	11.95	99.22	84.32	60.25	8.55	95.58	3.06	18.95	27.59	24.52	21.44	4.44
99.99	98.95	62.38	28.5	106.9	85.04	100.42	18.96	98.54	81.23	62.14	17.06	95.28	3.55	13.56	30.33	23.5	21.75	7.31
99.62	94.27	60.21	12.32	107.29	91.58	71.28	10.84	95.77	80.49	56.02	8.66	95.05	2.31	17.51	31.29	24.91	19.02	4.96
99.45	89.32	64.75	9.72	100.69	98.65	71.37	6.28	96.87	77.18	52.16	3.97	96.42	4.89	17.34	33.86	23.91	15.95	4.04
99.58	99.03	79.84	21.99	108.57	90.69	103.71	13.69	99.2	81	71.52	8.63	94.6	2.76	15.39	31.02	24.68	22.14	4.01
99.54	97.42	84.12	19.08	101.82	96.21	93.63	17.72	97.54	78.82	72.98	12.48	95.37	2.7	10.06	27.65	25.19	28.08	6.33
99.78	94.12	58.82	10.47	107.68	91.89	56.29	10.06	97.98	78.06	45.19	6.81	94.71	2.44	18.02	42.17	18.83	14.71	3.82
99.59	97.14	68.5	20.35	107.3	90.43	70.13	18.75	98.76	77.85	55.68	15.51	93.18	2.77	16.19	27.64	23.02	22.95	7.44
99.63	95.88	74.74	21.05	104.34	99.59	80.4	17.61	98.58	81.64	56.36	10.71	93.28	7.55	10.26	24.74	22.21	27.03	8.21
99.72	99.6	80.12	28.9	103.21	94.99	108.59	20.32	96.75	80.08	73.05	17.59	93.99	4.12	10.95	20.99	20.2	32.99	10.75
99.6	98.86	82.4	30.19	102.33	101.77	83.41	34.94	95.95	82.38	64.43	27.33	93.64	5.33	7.96	17.38	21.84	32.75	14.74
99.93	98.91	81.22	12.92	110.33	96.07	92.36	10.4	96.23	84.84	73.39	8.1	90.94	8.37	11.87	32.73	19.77	20.71	6.56
99.29	97.81	83.1	22.96	102.83	105.46	78.2	24.04	97.53	88.47	67.03	20.23	94.08	7.02	7.1	21.84	24.91	29.24	9.88
99.7	96.2	82.09	19.24	101.54	97.27	110.98	10.65	95.04	78.37	75.66	9.56	91.71	10.66	10.22	23.39	22.41	14.87	8.45
99.65	95.85	59.44	22.39	109.68	89.7	93.6	12.03	99.21	79.93	50.32	8.24	94.37	3.28	10.86	41.48	24.31	16.79	3.27
99.98	99.04	73.13	13.72	107.7	96.01	87.3	11.57	95.93	76.43	57.23	5.85	90.22	8.38	17.55	26.27	22.38	19.62	5.79
99.99	98.05	68.97	10	105.93	101.41	74.53	10.07	96.54	82.34	56	6.43	93.49	4.66	15.15	31.87	24	19.6	4.72
99.6	96.34	72.51	19.99	106.89	91.71	101.34	11.11	99.38	80.08	63.44	7.61	93.37	7.05	11.36	27.64	25.65	21.3	7
99.75	98.94	73.05	18.92	105.91	88.32	90.1	18.93	97.32	76.25	67.22	14.91	94.97	3.59	8.06	22.87	27.11	29.49	8.89
99.65	96.93	68.97	22.85	110.4	94.66	88	16.3	97.51	78.11	59.93	14.18	95.08	2.2	11.35	30.94	27.31	22.85	5.35
99.72	95.52	77.41	26.12	108.84	98.67	102.7	20.2	97.92	80.08	59.59	10.9	96.84	3.21	8.75	29.81	28.98	24.8	4.45
99.69	97.75	74.91	20.49	106.36	99.48	78.77	22.21	98.17	77.85	56.05	16.33	94.58	3.55	14.54	22.41	25.56	26.7	7.24
99.99	96.7	74.15	11.35	102.64	102.59	77.59	7.71	97.02	74.5	59.53	6.15	98.47	3.03	17.77	32.21	23.58	18.29	5.12
99.99	95	70.55	22.63	106.72	93.55	103.73	13.48	94.8	74.76	61.86	9.27	93.83	4.09	12.79	26	25.68	25.91	5.53
99.74	94.9	64.58	16.22	109.94	93.98	69.78	17.18	95.46	79.49	53.9	14.94	94.04	4.73	16.2	33.1	22.49	18.78	4.7
99.99	91.45	66.69	14.21	108.47	95.57	64.22	14.52	96.57	77.93	45.91	8.29	94.2	3.15	16.53	34.34	22.63	18.7	4.65
99.68	92.62	59.1	15.05	106.58	89.55	74.18	9.61	98.01	78.32	48.72	7.21	90.44	7.55	18.63	31.6	21.08	16.87	4.26
99.98	94.17	66.17	26.74	102.84	87.52	80.26	26.15	99.23	77.86	53.71	22.73	94.62	5.85	14.27	30.37	22.28	22.1	5.14
99.65	95.37	51.61	19.8	109.96	88.21	70.34	14.09	99.18	84.18	49.53	12.89	92.01	7.15	19.62	32.46	20.72	15.61	4.43
99.99	96.01	90.79	29.67	104.79	94.93	90.07	33.31	97.95	81.65	70.73	20.85	96.78	0.79	6.49	13.96	21.23	42.55	14.98
99.49	100	76.25	39.42	105.95	92.5	81.43	49.86	99.2	82.58	67.88	37.7	97.13	1.47	4.88	15.51	18.6	42.29	17.25
99.1	97.22	84.78	49.31	108.35	82.85	119.1	48.19	98.73	74.03	62.14	30.42	95.98	1.37	8.38	12.53	24.84	38.68	14.21
99.76	97.05	74.66	50.34	102.57	92.54	104.6	43.24	99.6	91.77	69.95	37.53	96.94	1.1	8.45	13.03	19.28	39.41	18.73
99.48	96.11	65.24	18.93	110.98	79.36	78.66	19.58	99.48	74.55	55.58	13.95	96.08	0.98	9.04	27.19	24.36	30.28	8.15
99.95	96.01	78.12	24.01	112.67	88.43	82.32	24.47	99.61	74.68	62.16	18.5	94.8	1.96	13.39	24.21	21.28	30.04	9.11
