AirTemp	WtrTemp	TDS	TSS	DHL	pH	BOD	COD	DO	Fosfat	NO3	Amonia
35.6	30	241.3	13.1	498	7.81	3.6	18.1	4.1	0.21	3.1	0.31
42	31.7	300	43.3	582	7.78	15.2	71.6	3.1	1.25	1.9	0.49
32.8	28.7	189	11.5	358	8.22	2	7.6	6.8	0.05	1.9	0.11
28.7	27.5	127	140	249	8.11	3.4	14.1	6.2	0.31	2	0.06
28.3	24.9	120	2.5	228	8.32	2	8.8	6.8	0.04	2.1	0.04
32	30.6	325	21.5	617	7.14	46.4	211.6	1	0.07	3.6	0.52
35	31.2	149	20.5	275	7.93	2	6.8	6.8	0.04	1	0.04
33.5	30.7	195	11.8	373	7.75	2	8.5	6.6	0.04	1.2	0.05
35.9	28.9	147	136	271	7.74	5	20.2	5.5	0.29	2.8	0.11
35.2	28.9	148	130	289	7.7	4.8	27.8	5.4	0.29	2.9	0.23
34.4	30.5	295	20.5	563	8.04	2.1	12.2	6.5	0.26	3.2	0.06
31.4	26.1	275	5.2	507	8.06	2	4.9	6.2	0.3	2.6	0.08
33.2	29.8	280	23	544	7.81	2	14.4	6.2	0.17	2.4	0.08
39	26	444	2.5	829	7.81	6.6	19.5	3.1	1.13	0.9	3.78
26.2	24.8	135	106	257	7.66	2	21	7.1	0.2	3	0.07
35.9	28.2	193	74.3	364	8.29	2.1	19.9	7.1	0.25	2	0.16
38.1	30.5	265	39.9	54.2	8.26	2	13.8	7	0.16	2.1	0.1
32.3	30.5	231	127	437	7.89	4.5	33.6	4.9	0.28	2.4	0.67
29.1	24.6	53.8	4	99.7	8.3	2	3.5	7.8	0.04	0.6	0.03
32.1	26.7	52.2	7.8	99.5	8.3	2	4	7.6	0.04	0.6	0.04
32.3	27.6	38.9	147.4	73.8	8.22	2	4.2	7.3	0.06	0.9	0.03
40.5	26.7	45.5	45.5	86.8	7.55	2	4.6	5.5	1	1.2	0.04
30.9	23.4	86.1	54	163.4	7.53	4.8	12.3	7.8	0.3	1.4	0.18
34.8	30.6	453	29.1	855	7.23	3.2	13.7	2.7	0.1	1.1	0.6
26.5	26.2	450	31.9	848	8.17	2	14.7	6	0.05	3.4	0.09
26.3	26.5	333	77.2	626	7.96	2.3	16.8	4.9	0.09	2.2	0.15
28	27.5	312	37.9	584	7.82	3.2	13.5	4.8	0.11	2.2	0.3
30.2	28.2	306	78.1	587	7.91	3.3	29.6	5.3	0.02	2.7	0.19
34.6	29	296	39.5	551	8.06	3.2	18.1	7.1	0.09	3.7	0.16
34.6	29.8	368	1793	701	8.02	3.2	79.5	5.7	0.06	3.2	0.26
36.4	32.2	289	2776	549	7.99	4.5	54.5	4.7	0.05	3.4	0.18
31.8	32.8	318	591	596	8.01	2	74.1	2.7	0.05	4.3	0.19
32.6	28.8	301	872	571	7.89	4.4	74.7	4	0.05	4	0.17
26.4	22	58.1	6.3	109.1	8.27	2	6.5	7.7	0.02	0.7	0.03
36.5	27.5	175	14.7	329	7.95	3	20.2	7.3	0.11	0.2	0.07
36.6	31.4	201	17.5	390	8.55	4	20.9	7.7	0.11	1.4	0.03
38.5	30.6	167	108	317	8.38	3.8	21.5	6.9	0.04	1.4	0.21
35.2	27.6	184	69.1	353	8.28	29.3	7	0.04	0.9	0.16	0.02
34.7	30.8	266	170	503	7.87	5.1	25.9	5.4	0.13	1.1	0.64
24.3	25.9	255	9.4	0.289	7.36	2.3	23.1	1.9	0.005	0.6	0.081
28.9	26.1	275	31.1	0.503	8.24	2	6.8	6.8	0.03	0.8	0.054
29.2	27	430	456	0.52	8.14	2	33.4	6.9	0.02	0.8	0.044
33.8	32.1	340	1439	0.525	8.47	2	65.2	5.3	0.09	1.8	0.071
34.4	30.1	495	883	0.708	8.45	2.9	146	6.2	0.11	2.4	0.044
39.5	30.9	669	1623	1.082	8.32	2	112	5.6	0.09	3.7	0.071
31.3	25.5	247	883	0.465	8.23	2.9	146	4.6	0.05	3.2	0.073
33.2	30.1	258	1623	0.486	8.07	2	112	5.6	0.04	2.9	0.047
36.7	27.7	268	1475	0.507	8.01	2	59.1	5.7	0.06	2.7	0.05
33.7	31.9	332	604	0.626	8.04	2	37	5.7	0.06	3	0.07
25.4	22.4	18.9	16.1	36.9	7.84	2	7.2	8.1	0.01	0.6	0.03
29.4	24.8	18.8	55.8	37.7	8.43	2	15.3	7.9	0.05	0.7	0.03
33.9	26.1	22.8	19.7	45.8	8.05	5.2	26.5	7.9	0.02	0.8	0.03
31.3	26.4	55.8	16.8	112.1	7.82	5.1	16.5	4.4	0.06	0.9	0.24
24.6	24.5	275	2552	0.626	8.24	2	56.9	5.4	0.06	1.4	0.12
25.9	25.1	285	2330	0.569	8.17	2	73	4.5	0.08	1.7	0.13
27	25.7	255	2346	0.503	8.19	2	71.4	5.3	0.14	2.1	0.13
26.6	25.8	231	4219	0.446	8.12	2	86.6	5	0.02	2.7	0.16
27.5	25.9	218	4636	0.429	8.09	2	70.4	5.5	0.01	2	0.12
26.2	25.8	216	1343	0.438	7.68	2	83.3	5.6	0.02	2	0.14
27.9	26	213	2108	0.426	8.01	2.1	82	5.2	0.02	1.9	0.14
28.1	26.2	217	1427	0.438	7.99	3	68.3	5.3	0.08	2	0.13
26.9	26.2	461	106.1	0.919	7.52	2.6	21.7	5.8	0.1	1.5	0.14
26.9	24.6	120	74	0.235	8.47	2	11	5.99	0.07	1.7	0.03
26.8	26.9	292	27.1	0.549	8.4	2	5	5.33	0.02	2.5	0.03
31.6	27.2	161	93.5	0.312	8.45	2	19.1	4.57	0.1	2.1	0.03
32.3	30.7	323	14.7	0.609	8.03	2.1	8.8	7.05	0.01	0.3	0.03
36.9	32	285	7.1	0.485	8.28	2	3.6	0.19	0.01	0.7	0.03
40.5	29.6	214	69.8	0.414	8.1	2	15.6	4.72	0.03	2.5	0.03
39.2	29.4	226	1693	0.426	7.95	4	79.1	6.1	0.05	2.2	0.09
35.3	30.1	193	1494	0.363	7.97	4	77.8	5.1	0.32	1.8	0.15
16.2	16.4	278	2.5	0.494	7.18	2	4.6	7.1	0.01	47.4	0.03
19	20.4	148	4.4	0.281	7.79	2	4.8	7.8	0.05	5.6	0.03
27.8	23.3	268	43.8	0.492	8.47	2	5.3	7.5	0.1	2.3	0.03
27.3	25.7	356	26.5	0.647	8.26	2	5	7.3	0.1	2.2	0.03
30.5	26.5	156	26.9	0.286	8.86	2	4.7	7.8	0.06	1.5	0.03
33.5	26.7	174	440	0.382	8.36	2	5	7.6	0.06	1.6	0.03
34.4	30.2	123	135	0.245	8.31	2	10	7.4	0.12	2.3	0.03
34.9	31.7	212	72.8	0.387	8.17	2	4	7.3	0.1	2.2	0.03
40.3	29	92.5	115	0.175	8.08	3.7	8.2	7.6	0.12	2	0.03
41.6	28.7	86.2	86.9	0.163	8.15	3.3	7.6	5.14	0.04	2.1	0.03
33.2	27	289	160	0.57	7.97	2	10.2	5.28	0.07	2.2	0.03
28.9	26.1	142	34.9	0.27	7.93	2	3.6	6.9	0.04	0.7	0.03
29.5	26.1	79.1	25.6	0.15	8.07	2	18.4	6.5	0.06	1.7	0.03
28.2	27	190	291	0.344	7.89	2	14.1	5.58	0.07	1.7	0.03
29	27.8	149	223	0.315	8.1	2	19.2	5.11	0.04	1.5	0.03
29.4	27.6	239	66.1	0.449	7.97	2	3.4	5.03	0.03	1.4	0.03
27.6	27.9	170	236	0.396	8.1	2	13.8	4.7	0.02	1.2	0.03
28.5	27.9	646	2014	0.904	7.66	2.1	66.6	2.6	0.09	2.5	0.12
30.7	28.6	240	2954	0.447	7.62	2.1	77.4	3.2	0.23	2.5	0.03
29.5	29.1	416	1269	0.835	7.75	2.7	54.1	4.6	0.08	2.4	0.03
