"Product_id","Price","resoloution","cpu.core","cpu.freq","internal.mem","ram","RearCam","Front_Cam","battery","thickness"
"x203",2357,5.2,8,1.35,16,3,13,8,2610,7.4
"x880",1749,4,2,1.3,4,1,3.15,0,1700,9.9
"x40",1916,4.7,4,1.2,8,1.5,13,5,2000,7.6
"x99",1315,4,2,1.3,4,0.512,3.15,0,1400,11
"x880",1749,4,2,1.3,4,1,3.15,0,1700,9.9
"x947",2137,5.5,4,2.3,16,2,16,8,2500,9.5
"x774",1238,4,2,1.2,8,1,2,0,1560,11.7
"x947",2137,5.5,4,2.3,16,2,16,8,2500,9.5
"x99",1315,4,2,1.3,4,0.512,3.15,0,1400,11
"x1103",2580,5.1,4,2.5,16,2,16,2,2800,8.1
"x289",2438,5.3,8,1.5,32,4,13,8,4000,7.7
"x605",2006,5.5,8,1.4,4,1,5,0,2500,8.9
"x622",2174,5,4,1.3,16,1,13,5,2000,8.2
"x1058",2744,5.6,4,2.7,32,3,16,3.7,3000,8.3
"x1103",2580,5.1,4,2.5,16,2,16,2,2800,8.1
"x1120",1612,5,4,1.2,8,1.5,8,1.2,2040,10
"x187",2258,5,4,2.3,16,2,13,2,2300,10
"x315",2938,5.5,4,1.875,32,4,12.3,8,3450,8.5
"x1120",1612,5,4,1.2,8,1.5,8,1.2,2040,10
"x774",1238,4,2,1.2,8,1,2,0,1560,11.7
"x289",2438,5.3,8,1.5,32,4,13,8,4000,7.7
"x860",2392,5.2,8,1.4,32,3,13,16,2900,7.7
"x990",2977,5.1,8,2.3,32,4,12,5,3000,7.9
"x1058",2744,5.6,4,2.7,32,3,16,3.7,3000,8.3
"x104",1942,4.7,4,2.15,16,2,16,4,2200,10.3
"x776",1390,5,4,1.2,8,1,5,5,1905,8.8
"x605",2006,5.5,8,1.4,4,1,5,0,2500,8.9
"x315",2938,5.5,4,1.875,32,4,12.3,8,3450,8.5
"x776",1390,5,4,1.2,8,1,5,5,1905,8.8
"x10",1950,5,4,1.3,8,1,8,2,2000,6.4
"x187",2258,5,4,2.3,16,2,13,2,2300,10
"x990",2977,5.1,8,2.3,32,4,12,5,3000,7.9
"x1145",3316,5.2,8,1.75,32,3,20.7,5.1,2930,6.9
"x1020",2654,5.7,8,1.55,32,2,16,5,3050,5.9
"x1339",1421,4,2,1,4,0.512,2,0,1200,9.8
"x1020",2654,5.7,8,1.55,32,2,16,5,3050,5.9
"x104",1942,4.7,4,2.15,16,2,16,4,2200,10.3
"x662",2124,10.1,4,2.26,16,2,5,2,7400,7.8
"x575",1777,5.5,4,1.3,4,0.512,5,0,2250,9.2
"x860",2392,5.2,8,1.4,32,3,13,16,2900,7.7
"x662",2124,10.1,4,2.26,16,2,5,2,7400,7.8
"x907",2087,5,4,1.3,32,3,8,5,2450,7.6
"x162",1843,4.5,4,1.3,8,1,5,0,1600,10.1
"x907",2087,5,4,1.3,32,3,8,5,2450,7.6
"x974",2859,5.7,4,1.875,64,4,12,5,3500,7.9
"x739",1989,5,4,1.3,16,2,13,5,2500,8.7
"x1339",1421,4,2,1,4,0.512,2,0,1200,9.8
"x1145",3316,5.2,8,1.75,32,3,20.7,5.1,2930,6.9
"x162",1843,4.5,4,1.3,8,1,5,0,1600,10.1
"x738",2685,5.7,8,1.8,32,3,21,5,3050,7.5
"x804",1741,4.5,4,1.2,8,1,5,0,2390,12.3
"x43",1347,7,2,1.3,4,0.512,2,0,2820,9.1
"x974",2859,5.7,4,1.875,64,4,12,5,3500,7.9
"x1248",3658,5.15,8,2.45,64,6,12,8,3350,7.5
"x93",1984,5,4,1,8,1,8,5,3140,8.1
"x575",1777,5.5,4,1.3,4,0.512,5,0,2250,9.2
"x1248",3658,5.15,8,2.45,64,6,12,8,3350,7.5
"x93",1984,5,4,1,8,1,8,5,3140,8.1
"x739",1989,5,4,1.3,16,2,13,5,2500,8.7
"x804",1741,4.5,4,1.2,8,1,5,0,2390,12.3
"x563",2824,5.5,6,1.53,32,3,21,8,3500,9.3
"x577",2746,5.5,4,1.83,64,4,13,5,4000,8.5
"x43",1347,7,2,1.3,4,0.512,2,0,2820,9.1
"x218",2323,4.8,8,1.7,16,1,8,5,2100,5.1
